"TIME","GEO","SIEC","UNIT","Value","Flag and Footnotes"
"2017M03","European Union - 27 countries (from 2020)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","64 711.788",""
"2017M03","Belgium","Total","Gigawatt-hour","7 005.369",""
"2017M03","Belgium","Combustible fuels - non-renewable","Gigawatt-hour","87.155",""
"2017M03","Belgium","Coal and manufactured gases","Gigawatt-hour","193.451",""
"2017M03","Belgium","Natural gas","Gigawatt-hour","1 758.292",""
"2017M03","Belgium","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","3 471.138",""
"2017M03","Bulgaria","Total","Gigawatt-hour","3 589.177",""
"2017M03","Bulgaria","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M03","Bulgaria","Coal and manufactured gases","Gigawatt-hour","1 370.895",""
"2017M03","Bulgaria","Natural gas","Gigawatt-hour","191.394",""
"2017M03","Bulgaria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 452.532",""
"2017M03","Czechia","Total","Gigawatt-hour","7 385.940",""
"2017M03","Czechia","Combustible fuels - non-renewable","Gigawatt-hour","7.542",""
"2017M03","Czechia","Coal and manufactured gases","Gigawatt-hour","3 781.300",""
"2017M03","Czechia","Natural gas","Gigawatt-hour","263.928",""
"2017M03","Czechia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","2 308.125",""
"2017M03","Denmark","Total","Gigawatt-hour","3 122.695",""
"2017M03","Denmark","Combustible fuels - non-renewable","Gigawatt-hour","63.324",""
"2017M03","Denmark","Coal and manufactured gases","Gigawatt-hour","863.361",""
"2017M03","Denmark","Natural gas","Gigawatt-hour","317.097",""
"2017M03","Denmark","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M03","Germany (until 1990 former territory of the FRG)","Total","Gigawatt-hour","50 018.964",""
"2017M03","Germany (until 1990 former territory of the FRG)","Combustible fuels - non-renewable","Gigawatt-hour","1 618.103","e"
"2017M03","Germany (until 1990 former territory of the FRG)","Coal and manufactured gases","Gigawatt-hour","20 054.286","e"
"2017M03","Germany (until 1990 former territory of the FRG)","Natural gas","Gigawatt-hour","6 715.718","e"
"2017M03","Germany (until 1990 former territory of the FRG)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 836.597",""
"2017M03","Estonia","Total","Gigawatt-hour","1 039.000",""
"2017M03","Estonia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M03","Estonia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M03","Estonia","Natural gas","Gigawatt-hour","0.000",""
"2017M03","Estonia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M03","Ireland","Total","Gigawatt-hour","2 590.906",""
"2017M03","Ireland","Combustible fuels - non-renewable","Gigawatt-hour","205.832",""
