"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M09","Belgium","Monthly rate of change","All-items HICP","-0.2",""
"2015M09","Bulgaria","Monthly rate of change","All-items HICP","-0.8",""
"2015M09","Czechia","Monthly rate of change","All-items HICP","-0.1",""
"2015M09","Denmark","Monthly rate of change","All-items HICP","0.3",""
"2015M09","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","-0.3",""
"2015M09","Estonia","Monthly rate of change","All-items HICP","-0.6",""
"2015M09","Ireland","Monthly rate of change","All-items HICP","-0.5",""
"2015M09","Greece","Monthly rate of change","All-items HICP","1.2",""
"2015M09","Spain","Monthly rate of change","All-items HICP","0.4",""
"2015M09","France","Monthly rate of change","All-items HICP","-0.4",""
"2015M09","Croatia","Monthly rate of change","All-items HICP","-0.6",""
"2015M09","Italy","Monthly rate of change","All-items HICP","1.7",""
"2015M09","Cyprus","Monthly rate of change","All-items HICP","-0.6",""
"2015M09","Latvia","Monthly rate of change","All-items HICP","-0.2",""
"2015M09","Lithuania","Monthly rate of change","All-items HICP","0.6",""
"2015M09","Luxembourg","Monthly rate of change","All-items HICP","-0.3",""
"2015M09","Hungary","Monthly rate of change","All-items HICP","-0.6",""
"2015M09","Malta","Monthly rate of change","All-items HICP","-0.8",""
"2015M09","Netherlands","Monthly rate of change","All-items HICP","-0.2",""
"2015M09","Austria","Monthly rate of change","All-items HICP","0.5",""
"2015M09","Poland","Monthly rate of change","All-items HICP","-0.3",""
"2015M09","Portugal","Monthly rate of change","All-items HICP","0.7",""
"2015M09","Romania","Monthly rate of change","All-items HICP","0.3",""
"2015M09","Slovenia","Monthly rate of change","All-items HICP","-0.1",""
"2015M09","Slovakia","Monthly rate of change","All-items HICP","-0.2",""
"2015M09","Finland","Monthly rate of change","All-items HICP","0.2",""
"2015M09","Sweden","Monthly rate of change","All-items HICP","0.5",""
"2015M10","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","0.1",""
"2015M10","Belgium","Monthly rate of change","All-items HICP","0.3",""
"2015M10","Bulgaria","Monthly rate of change","All-items HICP","-0.2",""
"2015M10","Czechia","Monthly rate of change","All-items HICP","-0.1",""
"2015M10","Denmark","Monthly rate of change","All-items HICP","-0.1",""
"2015M10","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","0.0",""
"2015M10","Estonia","Monthly rate of change","All-items HICP","0.2",""
"2015M10","Ireland","Monthly rate of change","All-items HICP","-0.3",""
"2015M10","Greece","Monthly rate of change","All-items HICP","-0.2",""
"2015M10","Spain","Monthly rate of change","All-items HICP","0.3",""
"2015M10","France","Monthly rate of change","All-items HICP","0.1",""
"2015M10","Croatia","Monthly rate of change","All-items HICP","-0.2",""
"2015M10","Italy","Monthly rate of change","All-items HICP","0.4",""
"2015M10","Cyprus","Monthly rate of change","All-items HICP","-0.2",""
"2015M10","Latvia","Monthly rate of change","All-items HICP","0.0",""
"2015M10","Lithuania","Monthly rate of change","All-items HICP","0.5",""
"2015M10","Luxembourg","Monthly rate of change","All-items HICP","-0.2",""
"2015M10","Hungary","Monthly rate of change","All-items HICP","0.3",""
"2015M10","Malta","Monthly rate of change","All-items HICP","-0.6",""
"2015M10","Netherlands","Monthly rate of change","All-items HICP","0.0",""
"2015M10","Austria","Monthly rate of change","All-items HICP","0.1",""
"2015M10","Poland","Monthly rate of change","All-items HICP","0.1",""
"2015M10","Portugal","Monthly rate of change","All-items HICP","-0.1",""
"2015M10","Romania","Monthly rate of change","All-items HICP","0.3",""
"2015M10","Slovenia","Monthly rate of change","All-items HICP","0.0",""
"2015M10","Slovakia","Monthly rate of change","All-items HICP","0.1",""
"2015M10","Finland","Monthly rate of change","All-items HICP","0.2",""
"2015M10","Sweden","Monthly rate of change","All-items HICP","0.1",""
"2015M11","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","-0.4",""
"2015M11","Belgium","Monthly rate of change","All-items HICP","0.1",""
"2015M11","Bulgaria","Monthly rate of change","All-items HICP","-0.3",""
"2015M11","Czechia","Monthly rate of change","All-items HICP","-0.4",""
"2015M11","Denmark","Monthly rate of change","All-items HICP","-0.2",""
"2015M11","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","-1.0",""
"2015M11","Estonia","Monthly rate of change","All-items HICP","-0.3",""
"2015M11","Ireland","Monthly rate of change","All-items HICP","-0.3",""
"2015M11","Greece","Monthly rate of change","All-items HICP","-0.7",""
"2015M11","Spain","Monthly rate of change","All-items HICP","0.3",""
"2015M11","France","Monthly rate of change","All-items HICP","-0.2",""
"2015M11","Croatia","Monthly rate of change","All-items HICP","-0.6",""
"2015M11","Italy","Monthly rate of change","All-items HICP","-0.4",""
"2015M11","Cyprus","Monthly rate of change","All-items HICP","-1.2",""
"2015M11","Latvia","Monthly rate of change","All-items HICP","-0.1",""
"2015M11","Lithuania","Monthly rate of change","All-items HICP","-0.1",""
"2015M11","Luxembourg","Monthly rate of change","All-items HICP","0.1",""
"2015M11","Hungary","Monthly rate of change","All-items HICP","0.0",""
"2015M11","Malta","Monthly rate of change","All-items HICP","-2.5",""
"2015M11","Netherlands","Monthly rate of change","All-items HICP","-0.8",""
"2015M11","Austria","Monthly rate of change","All-items HICP","0.0",""
"2015M11","Poland","Monthly rate of change","All-items HICP","-0.1",""
"2015M11","Portugal","Monthly rate of change","All-items HICP","-0.4",""
"2015M11","Romania","Monthly rate of change","All-items HICP","0.3",""
"2015M11","Slovenia","Monthly rate of change","All-items HICP","0.1",""
"2015M11","Slovakia","Monthly rate of change","All-items HICP","0.0",""
"2015M11","Finland","Monthly rate of change","All-items HICP","0.0",""
"2015M11","Sweden","Monthly rate of change","All-items HICP","-0.2",""
"2015M12","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","0.0",""
"2015M12","Belgium","Monthly rate of change","All-items HICP","0.0",""
"2015M12","Bulgaria","Monthly rate of change","All-items HICP","0.4",""
"2015M12","Czechia","Monthly rate of change","All-items HICP","-0.2",""
"2015M12","Denmark","Monthly rate of change","All-items HICP","-0.1",""
"2015M12","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","0.1",""
"2015M12","Estonia","Monthly rate of change","All-items HICP","-0.7",""
"2015M12","Ireland","Monthly rate of change","All-items HICP","-0.1",""
