"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2016M02","France","Index, 2015=100","All-items HICP","99.31",""
"2016M02","Croatia","Index, 2015=100","All-items HICP","98.32",""
"2016M02","Italy","Index, 2015=100","All-items HICP","98.0",""
"2016M02","Cyprus","Index, 2015=100","All-items HICP","96.65",""
"2016M02","Latvia","Index, 2015=100","All-items HICP","98.72",""
"2016M02","Lithuania","Index, 2015=100","All-items HICP","99.35",""
"2016M02","Luxembourg","Index, 2015=100","All-items HICP","99.37",""
"2016M02","Hungary","Index, 2015=100","All-items HICP","99.38",""
"2016M02","Malta","Index, 2015=100","All-items HICP","97.69",""
"2016M02","Netherlands","Index, 2015=100","All-items HICP","98.94",""
"2016M02","Austria","Index, 2015=100","All-items HICP","99.76",""
"2016M02","Poland","Index, 2015=100","All-items HICP","99.4",""
"2016M02","Portugal","Index, 2015=100","All-items HICP","98.28",""
"2016M02","Romania","Index, 2015=100","All-items HICP","98.69",""
"2016M02","Slovenia","Index, 2015=100","All-items HICP","98.36",""
"2016M02","Slovakia","Index, 2015=100","All-items HICP","99.37",""
"2016M02","Finland","Index, 2015=100","All-items HICP","99.69",""
"2016M02","Sweden","Index, 2015=100","All-items HICP","100.30",""
"2016M03","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","99.89",""
"2016M03","Belgium","Index, 2015=100","All-items HICP","101.46",""
"2016M03","Bulgaria","Index, 2015=100","All-items HICP","98.28",""
"2016M03","Czechia","Index, 2015=100","All-items HICP","100.1",""
"2016M03","Denmark","Index, 2015=100","All-items HICP","99.9",""
"2016M03","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","99.8",""
"2016M03","Estonia","Index, 2015=100","All-items HICP","100.41",""
"2016M03","Ireland","Index, 2015=100","All-items HICP","99.4",""
"2016M03","Greece","Index, 2015=100","All-items HICP","99.40",""
"2016M03","Spain","Index, 2015=100","All-items HICP","99.16",""
"2016M03","France","Index, 2015=100","All-items HICP","100.09",""
"2016M03","Croatia","Index, 2015=100","All-items HICP","98.82",""
"2016M03","Italy","Index, 2015=100","All-items HICP","100.1",""
"2016M03","Cyprus","Index, 2015=100","All-items HICP","97.37",""
"2016M03","Latvia","Index, 2015=100","All-items HICP","99.47",""
"2016M03","Lithuania","Index, 2015=100","All-items HICP","100.41",""
