"TIME","GEO","PRODUCT","CONSOM","UNIT","TAX","CURRENCY","Value","Flag and Footnotes"
"2017S2","Malta","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1600",""
"2017S2","Netherlands","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1129",""
"2017S2","Austria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1463",""
"2017S2","Poland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1385",""
"2017S2","Portugal","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1870",""
"2017S2","Romania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1072",""
"2017S2","Slovenia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1198",""
"2017S2","Slovakia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1576",""
"2017S2","Finland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1021",""
"2017S2","Sweden","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1000",""
"2018S1","European Union - 27 countries (from 2020)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1715",""
"2018S1","Belgium","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1727",""
"2018S1","Bulgaria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1130",""
"2018S1","Czechia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1507",""
"2018S1","Denmark","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2807",""
"2018S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2231",""
"2018S1","Estonia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1148",""
"2018S1","Ireland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1772",""
"2018S1","Greece","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1632",""
"2018S1","Spain","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1445",""
"2018S1","France","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1514",""
"2018S1","Croatia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1293",""
"2018S1","Italy","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1968",""
"2018S1","Cyprus","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1794",""
"2018S1","Latvia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1570",""
"2018S1","Lithuania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1134",""
"2018S1","Luxembourg","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1118",""
"2018S1","Hungary","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1253",""
"2018S1","Malta","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1596",""
"2018S1","Netherlands","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1737",""
