time,country,crude_oil_100,natural_gas_100,coal_100,elec_100,steel_100,copper_100,aluminum_100
2015M09,Latvia,89.48,94.41,86.23,98.88,82.08,82.19,77.93
2015M09,Lithuania,89.48,94.41,86.23,98.58,82.08,82.19,77.93
2015M09,Luxembourg,89.48,94.41,86.23,98.59,82.08,82.19,77.93
2015M09,Hungary,89.48,94.41,86.23,97.93,82.08,82.19,77.93
2015M09,Malta,89.48,94.41,86.23,97.26,82.08,82.19,77.93
2015M09,Netherlands,89.48,94.41,86.23,96.6,82.08,82.19,77.93
2015M09,Austria,89.48,94.41,86.23,95.93,82.08,82.19,77.93
2015M09,Poland,89.48,94.41,86.23,95.27,82.08,82.19,77.93
2015M09,Portugal,89.48,94.41,86.23,96.35,82.08,82.19,77.93
2015M09,Romania,89.48,94.41,86.23,93.36,82.08,82.19,77.93
2015M09,Slovenia,89.48,94.41,86.23,90.37,82.08,82.19,77.93
2015M09,Slovakia,89.48,94.41,86.23,87.38,82.08,82.19,77.93
2015M09,Finland,89.48,94.41,86.23,84.44,82.08,82.19,77.93
2015M09,Sweden,89.48,94.41,86.23,81.45,82.08,82.19,77.93
2015M10,EU,84.42,88.64,84.95,99.31,80.62,82.4,75.16
2015M10,Belgium,84.42,88.64,84.95,98.99,80.62,82.4,75.16
2015M10,Bulgaria,84.42,88.64,84.95,98.67,80.62,82.4,75.16
2015M10,Czechia,84.42,88.64,84.95,98.42,80.62,82.4,75.16
2015M10,Denmark,84.42,88.64,84.95,98.11,80.62,82.4,75.16
2015M10,Germany,84.42,88.64,84.95,97.8,80.62,82.4,75.16
2015M10,Estonia,84.42,88.64,84.95,100.3,80.62,82.4,75.16
2015M10,Ireland,84.42,88.64,84.95,99.7,80.62,82.4,75.16
2015M10,Greece,84.42,88.64,84.95,99.02,80.62,82.4,75.16
2015M10,Spain,84.42,88.64,84.95,98.34,80.62,82.4,75.16
2015M10,France,84.42,88.64,84.95,97.74,80.62,82.4,75.16
2015M10,Croatia,84.42,88.64,84.95,97.13,80.62,82.4,75.16
2015M10,Italy,84.42,88.64,84.95,100.18,80.62,82.4,75.16
2015M10,Cyprus,84.42,88.64,84.95,99.91,80.62,82.4,75.16
2015M10,Latvia,84.42,88.64,84.95,99.64,80.62,82.4,75.16
2015M10,Lithuania,84.42,88.64,84.95,99.28,80.62,82.4,75.16
2015M10,Luxembourg,84.42,88.64,84.95,99.01,80.62,82.4,75.16
2015M10,Hungary,84.42,88.64,84.95,98.74,80.62,82.4,75.16
2015M10,Malta,84.42,88.64,84.95,99.34,80.62,82.4,75.16
2015M10,Netherlands,84.42,88.64,84.95,98.59,80.62,82.4,75.16
2015M10,Austria,84.42,88.64,84.95,97.85,80.62,82.4,75.16
2015M10,Poland,84.42,88.64,84.95,97.11,80.62,82.4,75.16
2015M10,Portugal,84.42,88.64,84.95,96.37,80.62,82.4,75.16
2015M10,Romania,84.42,88.64,84.95,95.63,80.62,82.4,75.16
2015M10,Slovenia,84.42,88.64,84.95,87.19,80.62,82.4,75.16
2015M10,Slovakia,84.42,88.64,84.95,87.4,80.62,82.4,75.16
2015M10,Finland,84.42,88.64,84.95,87.61,80.62,82.4,75.16
2015M10,Sweden,84.42,88.64,84.95,87.82,80.62,82.4,75.16
2015M11,EU,84.42,88.64,85.75,88.03,77.1,82.4,75.16
2015M11,Belgium,84.42,88.64,85.75,88.24,77.1,82.4,75.16
2015M11,Bulgaria,84.42,88.64,85.75,73.76,77.1,82.4,75.16
2015M11,Czechia,84.42,88.64,85.75,77.57,77.1,82.4,75.16
2015M11,Denmark,84.42,88.64,85.75,81.32,77.1,82.4,75.16
2015M11,Germany,84.42,88.64,85.75,85.08,77.1,82.4,75.16
2015M11,Estonia,84.42,88.64,85.75,88.89,77.1,82.4,75.16
2015M11,Ireland,84.42,88.64,85.75,92.7,77.1,82.4,75.16
2015M11,Greece,84.42,88.64,85.75,101.0,77.1,82.4,75.16
2015M11,Spain,84.42,88.64,85.75,101.13,77.1,82.4,75.16
2015M11,France,84.42,88.64,85.75,101.2,77.1,82.4,75.16
2015M11,Croatia,84.42,88.64,85.75,101.27,77.1,82.4,75.16
2015M11,Italy,84.42,88.64,85.75,101.4,77.1,82.4,75.16
2015M11,Cyprus,84.42,88.64,85.75,101.53,77.1,82.4,75.16
2015M11,Latvia,84.42,88.64,85.75,97.62,77.1,82.4,75.16
2015M11,Lithuania,84.42,88.64,85.75,96.71,77.1,82.4,75.16
2015M11,Luxembourg,84.42,88.64,85.75,95.73,77.1,82.4,75.16
2015M11,Hungary,84.42,88.64,85.75,94.82,77.1,82.4,75.16
2015M11,Malta,84.42,88.64,85.75,93.91,77.1,82.4,75.16
2015M11,Netherlands,84.42,88.64,85.75,92.93,77.1,82.4,75.16
2015M11,Austria,84.42,88.64,85.75,98.17,77.1,82.4,75.16
2015M11,Poland,84.42,88.64,85.75,98.84,77.1,82.4,75.16
2015M11,Portugal,84.42,88.64,85.75,99.5,77.1,82.4,75.16
2015M11,Romania,84.42,88.64,85.75,100.17,77.1,82.4,75.16
2015M11,Slovenia,84.42,88.64,85.75,100.83,77.1,82.4,75.16
2015M11,Slovakia,84.42,88.64,85.75,101.5,77.1,82.4,75.16
2015M11,Finland,84.42,88.64,85.75,97.23,77.1,82.4,75.16
2015M11,Sweden,84.42,88.64,85.75,96.17,77.1,82.4,75.16
2015M12,EU,77.63,78.38,81.03,95.11,84.14,71.93,75.18
2015M12,Belgium,77.63,78.38,81.03,94.13,84.14,71.93,75.18
2015M12,Bulgaria,77.63,78.38,81.03,93.07,84.14,71.93,75.18
2015M12,Czechia,77.63,78.38,81.03,92.01,84.14,71.93,75.18
2015M12,Denmark,77.63,78.38,81.03,102.93,84.14,71.93,75.18
2015M12,Germany,77.63,78.38,81.03,102.61,84.14,71.93,75.18
2015M12,Estonia,77.63,78.38,81.03,102.37,84.14,71.93,75.18
2015M12,Ireland,77.63,78.38,81.03,102.05,84.14,71.93,75.18
2015M12,Greece,77.63,78.38,81.03,101.73,84.14,71.93,75.18
2015M12,Spain,77.63,78.38,81.03,101.5,84.14,71.93,75.18
2015M12,France,77.63,78.38,81.03,100.12,84.14,71.93,75.18
2015M12,Croatia,77.63,78.38,81.03,99.76,84.14,71.93,75.18
2015M12,Italy,77.63,78.38,81.03,99.4,84.14,71.93,75.18
2015M12,Cyprus,77.63,78.38,81.03,99.04,84.14,71.93,75.18
2015M12,Latvia,77.63,78.38,81.03,98.67,84.14,71.93,75.18
2015M12,Lithuania,77.63,78.38,81.03,98.3,84.14,71.93,75.18
2015M12,Luxembourg,77.63,78.38,81.03,99.33,84.14,71.93,75.18
2015M12,Hungary,77.63,78.38,81.03,99.14,84.14,71.93,75.18
2015M12,Malta,77.63,78.38,81.03,99.04,84.14,71.93,75.18
2015M12,Netherlands,77.63,78.38,81.03,98.94,84.14,71.93,75.18
2015M12,Austria,77.63,78.38,81.03,98.75,84.14,71.93,75.18
2015M12,Poland,77.63,78.38,81.03,98.56,84.14,71.93,75.18
2015M12,Portugal,77.63,78.38,81.03,97.12,84.14,71.93,75.18
2015M12,Romania,77.63,78.38,81.03,97.45,84.14,71.93,75.18
2015M12,Slovenia,77.63,78.38,81.03,97.78,84.14,71.93,75.18
2015M12,Slovakia,77.63,78.38,81.03,98.0,84.14,71.93,75.18
2015M12,Finland,77.63,78.38,81.03,98.33,84.14,71.93,75.18
2015M12,Sweden,77.63,78.38,81.03,98.66,84.14,71.93,75.18
2016M01,EU,69.94,83.16,78.15,96.31,81.49,72.87,73.86
2016M01,Belgium,69.94,83.16,78.15,95.97,81.49,72.87,73.86
2016M01,Bulgaria,69.94,83.16,78.15,95.69,81.49,72.87,73.86
