time,country,value,value_var,value_100,date
2017M12,Luxembourg,0.111,0.63,100.0,2017-12-01
2017M07,Hungary,0.1148,0.97,94.65,2017-07-01
2017M08,Hungary,0.1166,1.57,96.14,2017-08-01
2017M09,Hungary,0.1183,1.46,97.54,2017-09-01
2017M10,Hungary,0.12,1.44,98.94,2017-10-01
2017M11,Hungary,0.1218,1.5,100.42,2017-11-01
2017M12,Hungary,0.1236,1.48,101.91,2017-12-01
2017M07,Malta,0.16,0.19,85.43,2017-07-01
2017M08,Malta,0.1599,-0.06,85.38,2017-08-01
2017M09,Malta,0.1599,0.0,85.38,2017-09-01
2017M10,Malta,0.1598,-0.06,85.33,2017-10-01
2017M11,Malta,0.1597,-0.06,85.28,2017-11-01
2017M12,Malta,0.1597,0.0,85.28,2017-12-01
2017M07,Netherlands,0.1129,-31.7,65.27,2017-07-01
2017M08,Netherlands,0.123,8.95,71.11,2017-08-01
2017M09,Netherlands,0.1332,8.29,77.01,2017-09-01
2017M10,Netherlands,0.1433,7.58,82.85,2017-10-01
2017M11,Netherlands,0.1534,7.05,88.69,2017-11-01
2017M12,Netherlands,0.1636,6.65,94.59,2017-12-01
2017M07,Austria,0.1463,2.31,97.86,2017-07-01
2017M08,Austria,0.1463,0.0,97.86,2017-08-01
2017M09,Austria,0.1463,0.0,97.86,2017-09-01
2017M10,Austria,0.1463,0.0,97.86,2017-10-01
2017M11,Austria,0.1463,0.0,97.86,2017-11-01
2017M12,Austria,0.1463,0.0,97.86,2017-12-01
2017M07,Poland,0.1385,-1.21,97.07,2017-07-01
2017M08,Poland,0.1388,0.22,97.28,2017-08-01
2017M09,Poland,0.1391,0.22,97.49,2017-09-01
2017M10,Poland,0.1395,0.29,97.77,2017-10-01
2017M11,Poland,0.1398,0.22,97.99,2017-11-01
2017M12,Poland,0.1401,0.21,98.2,2017-12-01
2017M07,Portugal,0.187,-1.27,103.61,2017-07-01
2017M08,Portugal,0.1864,-0.32,103.28,2017-08-01
2017M09,Portugal,0.1858,-0.32,102.95,2017-09-01
2017M10,Portugal,0.1852,-0.32,102.62,2017-10-01
2017M11,Portugal,0.1847,-0.27,102.34,2017-11-01
2017M12,Portugal,0.1841,-0.32,102.01,2017-12-01
